X,Y,pk_uid,uuid,road,carriagew0,lane,km,wegvak,bearing,wegbeheer0
4.82353867845172,52.3382613426305,12744,"04079fa5-ca43-448e-94b9-7ddcbf946a30",A4,L,2,1.555000,232367004,91.237063,RWS West-Nederland Noord
6.02114694695164,52.2072183013243,12745,deb07a9f-7bf5-4364-91b0-69c1258a68f4,A50,L,3,206.205000,600146497,190.146750,RWS Oost-Nederland
4.58410782862885,52.025495525405,12746,c1d699c7-f26b-45ed-94c6-c301b463a587,A12,L,2,21.380000,600114802,297.762890,RWS West-Nederland Zuid
4.98706207338277,52.1964042243272,12747,a160399a-9205-448a-ae1e-fb3cd703e596,A2,L,2,46.915000,600125862,0.301633,RWS Midden-Nederland
5.15992796407357,52.0795071338771,12748,36dcce37-0997-47cd-9d10-5c49e377bd5c,A27,L,2,78.814000,600128865,203.746740,RWS Midden-Nederland
5.49274650739831,51.4050448996369,12749,4b143df8-7cd5-4f08-af98-40d291b29211,A2,L,1,169.319000,600138439,274.065140,RWS Zuid-Nederland
6.14652783743816,51.9113428224856,12750,5ac999da-ab1c-4724-a71f-d50c2d3ad9da,A12,L,1,148.150000,600148887,307.508670,RWS Oost-Nederland
5.41862854383931,51.4857145305812,12751,ba36beb3-636a-40f8-87d6-9359c5755f31,A2,L,2,154.939000,600138335,61.337339,RWS Zuid-Nederland
5.37163011992853,51.7060785686062,12752,d6ddd388-48a1-44f4-aadb-9b84422f53ad,A59,L,1,141.585000,600135739,247.941280,RWS Zuid-Nederland
4.92836344376863,52.5034063614974,12753,c37bfd3c-9347-44fd-b965-6f2a8c781a14,A7,L,1,13.273000,248404008,268.470050,RWS West-Nederland Noord
4.33838737157929,52.0375101215157,12754,92bd1d56-d394-4e0e-adae-4d0faeff75f0,A4,L,3,49.840000,165300042,45.680471,RWS West-Nederland Zuid
4.84087095882915,52.3469135735997,12755,2d49d375-7b06-4c24-805f-8434a1adc53c,A10,L,4,22.100000,600122509,183.323590,RWS West-Nederland Noord
4.6671413400026,52.246423274178,12756,"098361e6-39e5-4494-9f03-cea08850e502",A4,L,3,16.975000,211346008,41.875089,RWS West-Nederland Noord
5.04037949176204,52.0714558628491,12757,7f3889a4-cd85-46e6-8d6b-e6a6a83597ec,A12,L,3,55.350000,600127359,283.967280,RWS Midden-Nederland
4.75376428021889,52.317201866747,12758,18a38849-949a-4182-bdae-62b27e2b4d2b,A4,L,3,7.072000,600280842,30.864074,RWS West-Nederland Noord
4.38306544993984,52.0070567631948,12759,c50edcca-5459-43a3-ae39-1283a51bbe6c,A13,L,3,9.900000,600104948,325.137950,RWS West-Nederland Zuid
5.18390954994167,52.1842581839913,12760,16409df7-30ef-4a80-8694-766984a1ac7c,A27,L,2,91.140000,600179757,196.553280,RWS Midden-Nederland
5.07468993487193,52.0888126381474,12761,f1027aaf-7f43-4af8-b124-3aa5fe7861ec,A2,L,3,61.135000,600127264,344.945420,RWS Midden-Nederland
4.53864716885311,51.926747978944,12762,91f44800-2521-49c7-8d84-a14199d0aa03,A16,L,1,18.200000,600115165,7.863676,RWS West-Nederland Zuid
4.86560480739508,52.4158810796786,12763,78e172ef-e431-4aeb-b288-e19240601dbe,A10,L,2,30.260000,600123751,210.394090,RWS West-Nederland Noord
5.02625497924095,52.0735347149272,12764,9fdbf295-f9be-4211-8c36-171263b40466,A12,L,1,54.340000,600126592,284.475280,RWS Midden-Nederland
4.95575624148125,52.3436638514262,12765,ef34d90d-8a9e-4374-822b-a80cc7bfb857,A10,L,1,12.475000,251367092,30.165359,RWS West-Nederland Noord
6.2047288027124,52.2357724358793,12766,263583ff-da6c-42c2-914e-f878bbb3c5fc,A1,L,3,106.235000,600148790,261.159730,RWS Oost-Nederland
4.3289628756439,52.0820579676571,12767,c7453d17-7d65-4c30-9040-1275f8459b69,A12,L,1,2.355000,600107818,317.909670,
5.10637205585356,51.537858375529,12768,a45b8e66-4119-4b45-a21a-57ae766789ac,A58,L,2,36.130000,270188035,49.760282,RWS Zuid-Nederland
4.94080209511016,52.2955459137988,12769,9cdef7ed-83aa-4f01-9a8a-f99369b18711,A9,L,1,11.580000,600448980,347.987450,RWS West-Nederland Noord
6.13145590711722,51.9186483992134,12770,e1b8f974-bc14-4c3e-b8df-8a31e8cd18e6,A12,L,1,146.830000,600432521,307.486140,RWS Oost-Nederland
6.37401005712638,52.2459648555655,12771,b669b391-a598-4a75-8036-042629446d64,A1,L,3,117.900000,600149741,264.748100,RWS Oost-Nederland
4.97849978911412,51.8976663801435,12772,ba15c552-3a6f-480d-b785-709e12c472c9,A27,L,1,42.890000,600125183,194.068150,RWS West-Nederland Zuid
4.71634099557829,52.5671220951615,12773,c4bf936a-1111-43fc-88cd-1657ed455cde,A9,L,1,64.822000,219420014,175.460910,RWS West-Nederland Noord
4.82720711333839,51.8216729798558,12774,66f647da-f82f-440d-92d1-113b27fd1323,A15,L,2,86.700000,600123310,265.613320,RWS West-Nederland Zuid
5.15992796407357,52.0795071338771,12775,e3a579d1-dda2-499a-af9f-af057243d6d7,A27,L,1,78.814000,600128865,203.746740,RWS Midden-Nederland
5.39519695121484,52.1997266107067,12776,7951eb90-d8e7-413b-8abd-4d044767218b,A1,L,1,41.100000,600134874,318.500100,RWS Midden-Nederland
4.55249011254668,51.9540197039374,12777,791a7ee1-38c4-4572-b8f1-da20ecae5e7e,A20,L,4,37.300000,600113734,258.270560,RWS West-Nederland Zuid
4.93616240700052,51.552484479921,12778,cbb78646-feb3-4ee6-a76d-a54c8d23d8f5,A58,L,1,48.480000,244192008,94.268495,RWS Zuid-Nederland
5.91653781401954,52.9753125598344,12779,"0021d4f7-44ff-4111-8215-fdb93fea3b2d",A7,L,3,143.725000,600144481,238.291020,RWS Noord-Nederland
4.70350461826729,52.2718317672089,12780,e9757dd7-42ba-40b3-8969-b562a7f5a702,A4,L,1,13.250000,216351003,41.871666,RWS West-Nederland Noord
5.45292099061324,52.2219397839021,12781,675778d7-3132-490a-8710-b163634698d4,A28,L,1,33.035000,600138291,202.027760,RWS Oost-Nederland
4.57174384870343,51.8748649780084,12782,7969d169-cfe8-4d7f-acef-b42e2afd32f4,A38,L,3,21.058000,197264033,63.557106,RWS West-Nederland Zuid
5.79438605321853,51.0066991160506,12783,7574b5a2-6373-4ecb-a740-7f629bd884f5,A2,L,1,236.810000,366067007,34.616097,RWS Zuid-Nederland
4.74030223636441,51.5448045292132,12784,b8d0b504-0e55-4052-a553-ea8cc6dd60b5,A16,L,2,65.520000,600120325,358.254630,RWS Zuid-Nederland
5.1219952893419,51.9575665116707,12785,b08d3a35-edf6-427d-b76c-5eb8a1c14756,A2,L,3,77.000000,600127796,325.327110,RWS Midden-Nederland
5.36824229195413,52.1291921395384,12786,1855bfba-4d80-43bd-8fff-5e23292d7b56,A28,L,2,16.140000,600135180,251.252330,RWS Midden-Nederland
